data_extracao;prefixo;operador;placa;marca;modelo;data_primeiro_emplac;ano_fabricacao;combustivel
2021-05-30 02:00:54.782021;4435;VIACAO ALTO PETROPOLIS LTDA;IOH4051;M. BENZ;O-500M 1725;2007-11-29;2007;DIESEL
2021-05-30 02:00:54.782021;4480;VIACAO ALTO PETROPOLIS LTDA;IRM8151;M. BENZ;OF 1722M;2011-01-11;2010;DIESEL
2021-05-30 02:00:54.782021;4407;VIACAO ALTO PETROPOLIS LTDA;IQY7311;M. BENZ;O-500M;2010-07-23;2010;DIESEL
2021-05-30 02:00:54.782021;4455;VIACAO ALTO PETROPOLIS LTDA;IRA9086;M. BENZ;O-500M;2010-08-20;2010;DIESEL
2021-05-30 02:00:54.782021;6427;NORTRAN TRANSPORTES COLETIVOS LTDA;ISJ6901;M. BENZ;OF 1722;2011-10-18;2011;DIESEL
2021-05-30 02:00:54.782021;6502;NORTRAN TRANSPORTES COLETIVOS LTDA;IQA2656;M. BENZ;O-500M;2009-08-13;2009;DIESEL
2021-05-30 02:00:54.782021;607;COMPANHIA CARRIS PORTO ALEGRENSE;IPE7956;VOLVO;B12M;2008-10-02;2008;DIESEL
2021-05-30 02:00:54.782021;852;COMPANHIA CARRIS PORTO ALEGRENSE;IWH8237;VOLVO;B290R;2015-01-31;2014;DIESEL
2021-05-30 02:00:54.782021;750;COMPANHIA CARRIS PORTO ALEGRENSE;IRA3875;M. BENZ;O500 U;2010-08-12;2010;DIESEL
2021-05-30 02:00:54.782021;712;COMPANHIA CARRIS PORTO ALEGRENSE;IQN0989;VOLVO;B7R;2010-02-05;2009;DIESEL
2021-05-30 02:00:54.782021;720;COMPANHIA CARRIS PORTO ALEGRENSE;IQY3932;VOLVO;B7R;2010-07-16;2010;DIESEL
2021-05-30 02:00:54.782021;848;COMPANHIA CARRIS PORTO ALEGRENSE;IWO4072;VOLVO;B290R;2015-05-29;2014;DIESEL
2021-05-30 02:00:54.782021;6108;AUTO VIACAO NAVEGANTES LTDA;ISL4485;M. BENZ;OF 1722;2011-11-08;2011;DIESEL
2021-05-30 02:00:54.782021;2029;AUTO VIACAO PRESIDENTE VARGAS LTDA;IQC5265;M. BENZ;O-500M;2009-09-10;2009;DIESEL
2021-05-30 02:00:54.782021;2040;AUTO VIACAO PRESIDENTE VARGAS LTDA;IQU8837;M. BENZ;O-500M;2010-05-25;2010;DIESEL
2021-05-30 02:00:54.782021;6733;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IXC1237;M. BENZ;O-500M;2016-02-18;2015;DIESEL
2021-05-30 02:00:54.782021;6800;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;ISX6340;M. BENZ;OF 1722;2012-03-23;2011;DIESEL
2021-05-30 02:00:54.782021;3513;EMPRESA DE TRANSPORTES GASÔMETRO S.A.;IRN1053;M. BENZ;O 500;2011-01-07;2010;DIESEL
2021-05-30 02:00:54.782021;6123;AUTO VIACAO NAVEGANTES LTDA;IXC1698;M. BENZ;O-500M;2016-02-16;2015;DIESEL
2021-05-30 02:00:54.782021;6125;AUTO VIACAO NAVEGANTES LTDA;IXC1804;M. BENZ;O-500M;2016-02-16;2015;DIESEL
2021-05-30 02:00:54.782021;2034;AUTO VIACAO PRESIDENTE VARGAS LTDA;ISQ8241;M. BENZ;O-500M;2011-12-29;2011;DIESEL
2021-05-30 02:00:54.782021;6620;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IXC1150;M. BENZ;OF 1721;2016-02-15;2015;DIESEL
2021-05-30 02:00:54.782021;4337;VIACAO ESTORIL LTDA;IXC3057;M. BENZ;O500 U;2016-02-18;2015;DIESEL
2021-05-30 02:00:54.782021;6152;AUTO VIACAO NAVEGANTES LTDA;IZO5J45;M. BENZ;OF 1721L;2019-09-25;2019;DIESEL
2021-05-30 02:00:54.782021;2017;AUTO VIACAO PRESIDENTE VARGAS LTDA;IQE3930;M. BENZ;O-500M;2009-10-01;2009;DIESEL
2021-05-30 02:00:54.782021;6645;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IXC1453;M. BENZ;OF 1721;2016-02-15;2015;DIESEL
2021-05-30 02:00:54.782021;6732;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IXC1253;M. BENZ;O-500M;2016-02-15;2015;DIESEL
2021-05-30 02:00:54.782021;6693;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IOX3316;M. BENZ;OF 1722M;2008-07-16;2008;DIESEL
2021-05-30 02:00:54.782021;6745;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IUL5365;M. BENZ;O-500M;2013-06-28;2012;DIESEL
2021-05-30 02:00:54.782021;6742;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IUL5446;M. BENZ;O-500M;2013-06-28;2012;DIESEL
